400,2036,0.118635,0.007691
400,2036,0.101839,0.01044
400,2036,0.104687,0.009409
600,3157,0.260594,0.019066
600,3157,0.269952,0.016805
600,3157,0.252389,0.019928
600,3157,0.254434,0.018859
600,3157,0.263356,0.017094
800,4303,0.480352,0.032291
800,4303,0.47394,0.037398
800,4303,0.485007,0.030435
800,4303,0.472766,0.032378
800,4303,0.464507,0.032272
1000,5467,0.755436,0.042537
1000,5467,0.722794,0.048032
1000,5467,0.693939,0.052773
1000,5467,0.723634,0.045145
1000,5467,0.721139,0.045612
2000,11471,3.199,0.196964
2000,11471,3.19502,0.202504
2000,11471,3.16478,0.188128
2000,11471,3.18807,0.199007
2000,11471,3.20741,0.196704
3000,17659,7.49243,0.464217
10,31,0.018047,0.005488
10,31,0.001075,0.000383
10,31,0.001487,0.000495
10,31,0.001021,0.000382
10,31,0.001022,0.000376
50,205,0.038603,0.005402
50,205,0.037886,0.004097
50,205,0.056596,0.004083
50,205,0.04325,0.004085
50,205,0.043849,0.004072
100,446,0.191502,0.014564
100,446,0.197531,0.013428
100,446,0.197711,0.013252
100,446,0.210911,0.019025
100,446,0.202431,0.016544
200,957,0.909027,0.047757
200,957,0.934826,0.053415
200,957,0.896018,0.050427
200,957,0.903889,0.050838
200,957,0.92848,0.054033
400,2036,4.30499,0.212136
400,2036,4.3521,0.206022
400,2036,4.38921,0.216948
400,2036,4.38614,0.213772
400,2036,4.44858,0.203121
600,3157,10.5833,0.4843
600,3157,10.3873,0.479135
600,3157,10.2969,0.474536
600,3157,10.1829,0.523212
600,3157,10.0053,0.447848
800,4303,18.4515,0.860867
800,4303,18.6474,0.863772
800,4303,18.7906,0.836936
10,31,0.014616,0.00676
10,31,0.001523,0.000785
10,31,0.002138,0.001072
10,31,0.001464,0.000789
10,31,0.001978,0.000795
50,205,0.045385,0.005603
50,205,0.047624,0.004799
50,205,0.04725,0.005166
50,205,0.046401,0.005237
50,205,0.051798,0.005232
100,446,0.221684,0.015552
100,446,0.212175,0.014728
100,446,0.214841,0.015435
100,446,0.211146,0.014493
100,446,0.213183,0.014501
200,957,0.960959,0.051184
200,957,0.987018,0.050073
200,957,0.951629,0.046485
200,957,0.974649,0.049122
200,957,0.91675,0.05253
400,2036,4.24149,0.160612
400,2036,4.2736,0.181496
400,2036,4.18165,0.169146
400,2036,4.22589,0.173091
400,2036,4.2219,0.165547
600,3157,10.0958,0.356476
600,3157,10.1236,0.349077
600,3157,10.158,0.357834
600,3157,10.0273,0.332485
600,3157,10.1039,0.367491
800,4303,18.6522,0.621791
800,4303,18.6721,0.646596
800,4303,19.5395,0.670213
800,4303,18.933,0.631154
800,4303,20.1195,0.659061
1000,5467,32.3475,1.14714
1000,5467,32.3556,1.03575
1000,5467,32.5912,1.04748
1000,5467,32.6787,1.04611
1000,5467,32.1735,1.08006
2000,11471,142.931,4.73094
2000,11471,142.298,4.15857
2000,11471,142.727,4.26826
2000,11471,141.349,4.39125
2000,11471,140.434,4.18305
3000,17659,340.897,9.27865
3000,17659,321.81,10.1205
3000,17659,326.858,9.8787
3000,17659,334.435,10.1669
3000,17659,340.279,10.1249
10,31,0.014067,0.01084
10,31,0.001452,0.000776
10,31,0.002067,0.001085
10,31,0.001473,0.000744
10,31,0.001507,0.000751
50,205,0.041976,0.006018
50,205,0.046854,0.005282
50,205,0.046172,0.008951
50,205,0.04648,0.005295
50,205,0.050135,0.005067
100,446,0.219443,0.015361
100,446,0.228992,0.015852
100,446,0.217927,0.015874
100,446,0.220827,0.01985
100,446,0.225918,0.019359
200,957,1.00045,0.051321
200,957,0.992229,0.050983
200,957,0.977422,0.050988
200,957,0.991598,0.060978
200,957,0.993426,0.056149
400,2036,4.41743,0.172822
400,2036,4.41367,0.172407
400,2036,4.41013,0.177064
400,2036,4.70656,0.185308
400,2036,4.55714,0.158805
600,3157,11.1942,0.363316
600,3157,10.9987,0.353506
600,3157,11.028,0.370767
600,3157,10.8983,0.390469
600,3157,11.0202,0.386373
800,4303,20.6243,0.674214
800,4303,20.0535,0.656659
800,4303,19.9482,0.660362
800,4303,19.9007,0.638171
800,4303,20.041,0.647378
1000,5467,32.2952,1.04951
1000,5467,32.5582,1.00703
1000,5467,33.0358,1.01814
1000,5467,32.0565,1.02154
1000,5467,32.2989,1.02059
2000,11471,141.938,4.1653
2000,11471,139.813,4.01886
2000,11471,143.47,4.22061
2000,11471,143.096,4.23798
2000,11471,140.211,4.10475
3000,17659,364.31,16.1615
3000,17659,337.755,9.44415
3000,17659,335.217,11.1157
3000,17659,338.447,9.64674
3000,17659,336.362,9.59735
